job_title,count
BAGGER,42
FRONT DESK OFFICER,11
FRONT DESK CLERK,9
BEAUTICIAN,6
SEWER,5
HAIR STYLIST,5
CHECKER,5
SHIP FITTER,5
ESTIMATOR,4
OPERATIONS OFFICER,4
PROMO GIRL,3
CASINO DEALER,3
HAIRDRESSER,3
CASH COLLECTOR,3
CUSTODIAN,3
SOFTWARE DESIGNER,3
TRAVEL CONSULTANT,3
DISPLAY ARTIST,2
PHLEBOTOMIST,2
TAX OFFICER,2
FIELD INTERVIEWER,2
COMMUNITY DEVELOPMENT OFFICER,2
WATER PURIFICATION PLANT OPERATOR,2
COMPUTER GRAPHICS ARTIST,2
LIFEGUARD,2
STOREKEEPER,2
GARMENT SEWER,2
OPERATIONS COORDINATOR,2
RECREATION FACILITIES ATTENDANT/AIDE,2
LEADMAN (GENERAL),2
PASTRY MAKER,2
AUTOBODY REPAIRMAN,2
CHILD-CARE WORKER,2
MANICURIST/PEDICURIST,2
LEASING OFFICER,2
INTERPRETER,2
BUILDING EXTERIOR CLEANER,2
BELLBOY,2
PIPE FABRICATOR,2
STRUCTURAL STEEL WORKER (WORKSHOP),2
TELEPHONE OPERATOR,1
TILE SETTER,1
TIRE BUILDER,1
BARBER,1
LINE INSTALLER,1
SENIOR UTILITIES/CUSTOMER SERVICES OFFICER (GOV),1
RAILWAY STATION MASTER,1
RAILWAY BRAKER,1
ACQUIRED ASSETS OFFICER (GOV),1
CIVIL SECURITY ASSISTANT (GOV),1
PETROLEUM REFINING CONTROLMAN,1
MATERIALS PLANNING OFFICER,1
FORESTER,1
INSTRUMENTALIST,1
AMBASSADOR,1
PLASTIC LAMINATOR,1
AIR CRAFT PILOT,1
RESEARCH AND DEVELOPMENT ASSISTANT,1
COMPUTER ASSEMBLER,1
OVERSEAS WORKER WELFARE OFICER I (GOV),1
COMMUNICATION CONTROL OPERATOR,1
CUSTOMS BROKER,1
BOOKBINDER (GOV),1
STENOGRAPHIC REPORTER (GOV),1
RECORDS OFFICER III (GOV),1
SPORTS DEVELOPMENT OFFICER II (GOV),1
DATA CONTROLLER,1
PRINTING OPERATIONS CHIEF (GOV),1
PORT CAPTAIN,1
TIRE MOLDER,1
CAKE DECORATOR,1
FUEL DISTRIBUTION SYSTEM OPERATOR,1
BULLDOZER OPERATOR,1
INSTRUMENTMAN,1
MEAT CUTTER,1
HOSTESS,1
CAST CONCRETE PRODUCT MAKER,1
WOMAN'S HAIRDRESSER,1
APPRAISER,1
TRAVEL AGENCY CLERK,1
TOUR MARSHALL,1
BILL COLLECTOR,1
STREET SWEEPER,1
OILER,1
RESPIRATORY THERAPIST (GOV),1
BARGEMAN,1
CHAIRMAN (GOV),1
BANK MERCHANT,1
BROKERAGE CLERK,1
PERMITS AND LICENSING OFFICER (GOV),1
RESEARCH ANALYST,1
CABLE SPLICER,1
SALES ANALYST,1
MILLWRIGHT,1
PHOTOGRAPHER (GOV),1
PHOTOGRAPHER (GENERAL),1
REFRIGERATION SYSTEM OPERATOR,1
GUIDANCE COUNSELOR (COLLEGE),1
MARKET INSPECTOR II (GOV),1
REVENUE COLLECTION CLERK (GOV),1
PHYSICAL TRAINER,1
SOCIAL WELFARE ASSISTANT (GOV),1
TAX MAPPER II (GOV),1
STATISTICIAN II (GOV),1
METALLURGIST,1
SOCIAL BENEFITS OFFICER,1
GEODETIC SURVEYOR,1
NUTRITIONIST-DIETITIAN,1
STRUCTURAL FITTER,1
WATER TREATMENT PLANT OPERATOR (WATERWORKS),1
WINDOW CLEANER,1
REGISTRAR,1
CHICKEN MEAT PRODUCER,1
SOCIAL WORKER (GENERAL),1
ELECTRICAL REPAIRMAN,1
COMPERE (EMCEE/SHOW HOST),1
FACIAL/SKIN TREATMENT CONSULTANT,1
BARBER-HAIRDRESSER,1
MAKE-UP ARTIST,1
PEST CONTROL WORKER,1
TELECOMMUNICATOR,1
FURNITURE & CABINET MAKER,1
STEEL FABRICATOR,1
METAL POLISHER,1
SALES INVENTORY,1
GUIDANCE COUNSELLOR,1
STRUCTURAL METAL MAKER,1
COMMUNITY AFFAIRS ASSISTANT (GOV),1
BOILER OPERATOR,1
NURSEMAID,1
BUDGET OFFICER III (GOV),1
SURVEYOR (GENERAL),1
SAFETY INSPECTOR,1
MOTION PICTURE PRODUCER,1
PRODUCTION/PLANNING CLERK,1
