psgc_code,location,region,province,geographic_level
1900708000,Akbar,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900709000,Al-Barka,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900710000,Hadji Mohammad Ajul,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900712000,Hadji Muhtamad,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900702000,City of Lamitan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,City
1900703000,Lantawan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900704000,Maluso,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900705000,Sumisip,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900713000,Tabuan-Lasa,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900706000,Tipo-Tipo,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900707000,Tuburan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1900711000,Ungkaya Pukan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Mun
1903637000,Amai Manabilang,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903601000,Bacolod-Kalawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903602000,Balabagan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903603000,Balindong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903604000,Bayang,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903605000,Binidayan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903633000,Buadiposo-Buntong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903606000,Bubong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903607000,Butig,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903632000,Calanogas,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903624000,Ditsaan-Ramain,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903609000,Ganassi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903610000,Kapai,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903639000,Kapatagan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903611000,Lumba-Bayabao,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903641000,Lumbaca-Unayan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903612000,Lumbatan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903636000,Lumbayanague,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903613000,Madalum,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903614000,Madamba,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903634000,Maguing,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903615000,Malabang,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903616000,Marantao,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903617000,City of Marawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,City
1903631000,Marogong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903618000,Masiu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903619000,Mulondo,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903620000,Pagayawan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903621000,Piagapo,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903635000,Picong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903622000,Poona Bayabao,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903623000,Pualas,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903625000,Saguiaran,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903640000,Sultan Dumalondong,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903638000,Tagoloan Ii,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903626000,Tamparan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903627000,Taraka,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903628000,Tubaran,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903629000,Tugaya,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1903630000,Wao,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mun
1908701000,Barira,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908702000,Buldon,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908703000,City of Cotabato,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,City
1908704000,Datu Blah T. Sinsuat,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908705000,Datu Odin Sinsuat,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908706000,Kabuntalan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908707000,Matanog,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908708000,Northern Kabuntalan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908709000,Parang,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908710000,Sultan Kudarat,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
1908711000,Sultan Mastura,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Mun
